,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Is old
3879,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,young
858,M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,old
926,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,young
3863,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,young
3215,F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,old
1689,M,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,young
1773,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,young
2315,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,old
1544,I,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,young
2736,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,young
3385,F,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,young
1727,F,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,old
3109,I,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,young
100,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,young
444,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,young
3948,M,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,old
3208,I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,old
1308,I,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,young
3040,M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,young
234,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,young
483,M,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,old
4137,F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,young
3391,M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,young
1962,F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,young
3236,M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,old
1391,F,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,young
1846,I,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,young
2405,I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,old
2704,M,0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,young
2314,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,old
2664,M,0.57,0.45,0.135,1.02,0.546,0.204,0.25,young
2406,I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,old
2237,F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,old
1737,F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,old
1078,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,young
3066,F,0.64,0.485,0.145,1.1335,0.5525,0.2505,0.3015,young
3229,I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,young
273,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,old
1657,F,0.6,0.475,0.15,1.13,0.575,0.196,0.305,young
3140,I,0.335,0.26,0.09,0.1835,0.078,0.024,0.065,young
3015,I,0.395,0.3,0.09,0.253,0.1155,0.05,0.075,young
4096,F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,young
515,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,young
2595,F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,young
1176,M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,young
1037,F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,young
3487,F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,young
4061,I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,young
2456,I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,young
1761,F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,young
2411,F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,young
3627,M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,young
3430,I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,young
399,M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,old
978,F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,young
2875,I,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,young
2694,M,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,young
2804,M,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,old
433,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,old
410,M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,young
308,M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,old
421,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,old
560,I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,old
2333,F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,young
3272,M,0.52,0.425,0.155,0.7735,0.297,0.123,0.255,old
3115,I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,young
1324,I,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,young
388,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,young
2298,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,young
3492,M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,young
3363,M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,young
1987,I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,young
2827,M,0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,young
3731,M,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,young
3896,F,0.595,0.5,0.18,1.053,0.4405,0.192,0.39,old
183,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,young
169,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,old
2120,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,young
500,M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,young
2701,M,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,old
1884,M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,young
3941,M,0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,young
1387,M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,old
409,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,young
2415,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,young
3519,M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,young
3157,M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,young
3794,F,0.665,0.525,0.18,1.5785,0.678,0.229,0.456,old
3849,F,0.675,0.535,0.22,1.604,0.6175,0.4255,0.453,old
2516,F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,young
3090,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,young
2582,F,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,young
1920,I,0.605,0.49,0.165,1.071,0.482,0.1935,0.352,young
3440,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,young
2735,I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,young
1299,I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,young
1341,M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,young
3707,F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,young
2210,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,old
2675,M,0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,young
210,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,young
7,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,old
940,I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,young
678,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,young
1598,I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,young
294,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,old
347,F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,young
1663,F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,young
3792,F,0.65,0.495,0.175,1.227,0.528,0.258,0.37,young
3514,F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,young
2266,F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,old
3239,M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,old
1098,I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,young
2874,I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,young
2901,F,0.55,0.435,0.14,0.745,0.347,0.174,0.2265,young
2511,I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,young
187,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,old
2853,F,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,young
1022,M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,young
963,I,0.505,0.39,0.15,0.685,0.362,0.131,0.156,young
3825,M,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,young
1201,F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,young
349,I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,young
2910,F,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,young
1605,M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,young
1106,F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,young
2809,F,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,young
3632,I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,young
715,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,young
623,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,old
1570,I,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,young
3982,M,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,young
3773,M,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,young
3191,I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,young
3130,F,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,young
3167,F,0.64,0.54,0.175,1.571,0.627,0.271,0.475,old
1269,I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,young
1864,I,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,young
3811,I,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,young
968,I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,young
3270,F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,old
3679,F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,young
2427,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,old
3079,F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,young
2612,M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,young
1696,F,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,young
4078,I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,young
1932,M,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,young
2272,F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,old
1472,M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,young
2033,M,0.605,0.445,0.14,0.982,0.4295,0.2085,0.295,old
229,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,young
4012,M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,young
1223,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,young
35,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,old
458,I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,young
3433,I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,young
2600,M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,young
357,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,old
1597,I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,young
1480,M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,young
1488,M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,young
1703,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,young
3949,F,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,old
3620,F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,old
1702,F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,young
253,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,old
3190,M,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,young
2283,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,young
1009,M,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,young
1408,M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,young
3501,M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,young
3311,F,0.62,0.485,0.165,1.166,0.483,0.238,0.355,old
3195,F,0.61,0.47,0.16,1.017,0.426,0.2255,0.32,old
3222,M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,young
3014,I,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,young
3713,F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,young
3594,F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,young
370,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,old
2738,I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,young
3300,M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,old
1694,I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,young
2497,F,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,old
218,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,young
2322,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,old
2324,I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,young
356,M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,old
3785,M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,young
3294,M,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,old
2842,M,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,young
3004,F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,young
1481,F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,young
3967,I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,young
3742,F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,old
871,M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,old
1489,M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,young
2335,F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,old
2204,M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,old
1745,F,0.685,0.565,0.175,1.638,0.7775,0.375,0.438,young
1596,M,0.525,0.4,0.155,0.707,0.282,0.1605,0.225,young
716,I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,young
3142,I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,young
3528,I,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,young
1075,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,young
2515,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,young
1790,F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,young
2935,F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,young
1806,M,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185,young
2903,I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,young
3761,M,0.53,0.425,0.13,0.702,0.2975,0.1395,0.22,young
1095,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,young
1710,M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,young
2482,M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,young
1908,F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,young
3590,M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,young
3480,I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,young
4013,F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,young
427,F,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,old
1333,I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,young
3416,F,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,young
3739,F,0.635,0.505,0.17,1.2635,0.512,0.322,0.355,young
796,M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,old
156,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,young
2129,M,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,old
76,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,old
437,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,young
1193,M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,young
1559,I,0.425,0.315,0.08,0.303,0.131,0.0585,0.095,young
947,F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,young
3613,M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,young
3374,M,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,old
3466,F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,young
64,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,young
2176,M,0.575,0.45,0.185,0.925,0.342,0.197,0.35,old
1917,M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,young
182,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,old
847,F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,young
2647,I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,young
2532,M,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,young
1592,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,young
2857,F,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,young
4162,F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,young
1959,I,0.65,0.52,0.15,1.238,0.5495,0.296,0.3305,young
250,I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,young
254,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,old
2194,I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,young
3570,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,young
4123,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,young
1674,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,young
3386,F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,old
209,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,old
3638,I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,young
3456,M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,young
1926,F,0.61,0.47,0.165,1.1785,0.566,0.2785,0.294,young
3586,M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,young
3246,F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,old
840,I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,young
47,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,young
2138,F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,young
3073,F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,young
3780,M,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,young
2548,I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,young
3776,M,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,young
710,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,young
3012,I,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,young
2870,I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,young
154,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,young
951,M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,young
1143,M,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,young
628,F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,young
306,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,young
2437,M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,old
29,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,old
1855,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,young
69,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,young
2048,I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,young
3269,M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,young
3503,M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,young
3867,F,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,young
1358,M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,young
1725,F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,young
718,I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,young
2556,I,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,young
2109,M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,old
2820,I,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,young
2955,M,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,old
3515,M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,young
2613,F,0.635,0.495,0.18,1.596,0.617,0.317,0.37,young
4140,F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,young
772,I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,young
3905,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,old
3105,M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,young
787,F,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,young
4048,M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,young
4071,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,young
1386,I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,young
1531,M,0.75,0.55,0.18,1.893,0.942,0.397,0.445,young
296,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,young
573,F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,old
535,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,young
4074,I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,young
2358,M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,old
663,F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,young
372,F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,old
212,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,young
928,I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,young
634,I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,young
2384,F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,old
4011,M,0.61,0.475,0.15,1.142,0.62,0.237,0.245,young
2909,F,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,young
2703,M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,young
3403,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,old
3495,F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,young
1119,I,0.535,0.39,0.125,0.599,0.2595,0.149,0.169,young
2179,F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,old
2054,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,young
3321,F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,old
66,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,young
1654,M,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,young
4177,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,old
3333,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,old
1485,F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,young
1005,F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,young
1228,I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,young
2902,I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,young
1954,M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,young
3583,F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,young
331,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,old
3716,M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,young
3597,M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,young
260,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,old
2855,F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,young
3286,F,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,old
2983,F,0.51,0.37,0.21,1.183,0.508,0.292,0.343,young
3106,I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,young
1834,I,0.405,0.3,0.09,0.269,0.103,0.067,0.11,young
3612,F,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,young
2206,I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,young
478,M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,old
600,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,old
778,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,old
3965,I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,young
1097,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,young
702,F,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,old
54,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,young
3399,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,young
3075,M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,young
2002,I,0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,young
725,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,young
20,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,young
1383,F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,young
2650,M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,young
1047,F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,young
2555,I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,young
312,M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,old
2445,M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,young
3302,F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,young
2294,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,young
3400,F,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,young
1274,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,young
3678,M,0.605,0.49,0.165,1.1245,0.492,0.222,0.3555,young
3777,F,0.585,0.42,0.155,0.9845,0.442,0.2155,0.2875,old
369,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,old
781,M,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,old
3368,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,old
397,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,young
192,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,old
3267,F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,young
4017,F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,young
1906,I,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,young
1319,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,young
1623,I,0.565,0.42,0.155,0.743,0.31,0.186,0.231,young
1973,M,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,old
1655,I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,young
2642,I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,young
3485,I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,young
2471,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,young
432,M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,old
2090,F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,young
277,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,old
1396,M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,young
2195,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,old
